item_id order_id truck_id unload x y z rotation_axis
100087 20015 5 1 6720 1224 0 -1
100088 20015 5 1 8960 1224 0 -1
100089 20015 5 1 11200 1227 0 -1
100090 20015 5 1 3800 644 1180 -1
100091 20015 5 1 6040 644 1180 -1
100092 20015 5 1 8280 644 1180 -1
100266 20052 5 1 0 94 740 -1
100267 20052 5 1 2630 94 740 -1
100268 20052 5 1 5260 94 740 -1
100269 20052 5 1 7890 94 740 -1
100133 20026 6 1 4936 105 0 -1
100134 20026 6 1 4936 105 480 -1
100135 20026 6 1 4936 105 960 -1
100136 20026 6 1 4936 105 1440 -1
100137 20026 6 1 4936 105 1920 -1
100124 20024 6 2 1716 109 0 -1
100125 20024 6 2 1716 109 410 -1
100120 20023 7 1 3730 563 1700 -1
100121 20023 7 1 9475 683 0 -1
100122 20023 7 1 9475 683 710 -1
100123 20023 7 1 9475 683 1420 -1
100184 20035 7 2 9475 253 0 0
100000 20001 7 3 3730 105 0 -1
100001 20001 7 3 3730 105 480 -1
100002 20001 7 3 3730 105 1090 -1
100195 20038 7 3 1565 26 0 -1
100196 20038 7 3 1565 1230 0 -1
100197 20038 7 3 1565 26 230 -1
100198 20038 7 3 1565 26 940 -1
100199 20038 7 3 1565 1230 230 -1
100200 20038 7 3 1565 1230 940 -1
100201 20038 7 3 1565 628 1650 -1
100219 20043 8 1 7695 180 2150 -1
100220 20043 8 1 10855 500 696 -1
100221 20043 8 1 10855 500 1596 -1
100045 20009 8 2 5110 254 0 -1
100046 20009 8 2 9170 254 0 -1
100234 20046 8 2 5110 105 710 -1
100235 20046 8 2 5110 105 1190 -1
100236 20046 8 2 5110 105 1670 -1
100077 20014 8 3 2460 480 1018 -1
100263 20051 8 3 0 111 0 2
100264 20051 8 3 1890 235 0 -1
100265 20051 8 3 1890 235 509 -1
100193 20037 9 1 5570 225 1210 -1
100194 20037 9 1 7725 225 1210 -1
100008 20004 9 2 3520 595 2250 -1
100009 20004 9 2 3900 1325 2250 -1
100010 20004 9 2 2230 261 750 -1
100011 20004 9 2 3900 261 750 -1
100012 20004 9 2 2230 261 1500 -1
100013 20004 9 2 3900 261 1500 -1
100014 20004 9 2 2230 901 750 -1
100015 20004 9 2 2230 901 1500 -1
100016 20004 9 2 2230 1541 750 -1
100017 20004 9 2 2230 1541 1500 -1
100018 20004 9 2 3900 901 750 -1
100019 20004 9 2 3900 901 1500 -1
100020 20004 9 2 3900 1541 750 -1
100021 20004 9 2 3900 1541 1500 -1
100022 20004 9 2 1470 130 0 -1
100023 20004 9 2 1470 860 0 -1
100024 20004 9 2 1470 1590 0 -1
100025 20004 9 2 3520 130 0 -1
100026 20004 9 2 3520 860 0 -1
100027 20004 9 2 3520 1590 0 -1
100028 20004 9 2 11450 495 0 -1
100029 20004 9 2 11450 1225 0 -1
100213 20041 9 2 5570 70 0 -1
100214 20041 9 2 5570 70 180 -1
100215 20041 9 2 5570 70 360 -1
100216 20041 9 2 5570 70 785 -1
100097 20018 10 1 8881 1543 840 -1
100098 20018 10 1 10866 1255 410 -1
100099 20018 10 1 10866 1255 1350 -1
100100 20018 10 1 10866 325 410 -1
100101 20018 10 1 10866 325 1350 -1
100102 20018 10 1 8696 88 840 -1
100274 20055 10 1 10866 120 0 -1
100071 20013 10 2 2206 592 710 -1
100072 20013 10 2 4237 592 710 -1
100073 20013 10 2 175 590 0 -1
100074 20013 10 2 2206 592 1420 -1
100075 20013 10 2 4237 592 1420 -1
100076 20013 10 2 6268 592 1420 -1
100254 20050 10 2 2206 23 0 -1
100255 20050 10 2 2206 1227 0 -1
100256 20050 10 2 4371 23 0 -1
100257 20050 10 2 4371 1227 0 -1
100258 20050 10 2 6536 23 0 -1
100259 20050 10 2 6536 1227 0 -1
100260 20050 10 2 6268 625 710 -1
100261 20050 10 2 8701 35 0 -1
100262 20050 10 2 8701 1239 0 -1
100158 20030 11 1 8431 280 480 -1
100159 20030 11 1 8431 280 960 -1
100160 20030 11 1 8431 54 0 -1
100161 20030 11 1 3776 54 1920 -1
100154 20029 11 2 2686 105 0 -1
100155 20029 11 2 2686 105 480 -1
100156 20029 11 2 2686 105 960 -1
100157 20029 11 2 2686 105 1440 -1
100179 20033 12 1 7510 369 1709 -1
100148 20028 12 2 10560 0 509 -1
100149 20028 12 2 10560 0 949 -1
100150 20028 12 2 7510 369 1200 -1
100151 20028 12 2 10560 30 0 -1
100152 20028 12 2 4640 274 1200 -1
100153 20028 12 2 4640 274 1840 -1
100126 20025 12 3 2610 369 1200 -1
100127 20025 12 3 0 712 0 -1
100128 20025 12 3 2030 369 0 -1
100129 20025 12 3 4060 369 0 -1
100130 20025 12 3 6090 369 0 2
100131 20025 12 3 7580 369 0 2
100132 20025 12 3 9070 369 0 2
100038 20006 13 1 7898 353 2090 -1
100039 20007 13 2 8238 78 0 -1
100040 20007 13 2 8238 78 300 -1
100041 20007 13 2 2638 120 0 -1
100222 20044 13 2 7898 417 610 -1
100223 20044 13 2 7898 417 1350 -1
100224 20044 13 2 10273 417 600 -1
100225 20044 13 2 10273 417 1340 -1
100226 20044 13 2 8 515 0 -1
